id,kind,label,primary_scenario_id,supporting_scenario_ids,primary_harm_boundary,role,oracle_type,current_oracle,evidence_state,evidence_validity,fixture_safety,known_limitation,issue_refs,pr_refs,paths
MAP-LEVEL-11,gym_level,Level 11 credential guard,NS-ADV-CRED-001,NS-ADV-CRED-003,A synthetic password submit reaches an unexpected or insecure destination.,mixed,mixed,Playwright checks that risky submits prompt and legitimate/trusted submits complete.,MODELLED,CURRENT_REGRESSION,CLEAR,Product modal state is the principal oracle; the lane does not prove all script-based exfiltration sinks.,#199;#200,,gym/level11-credential-guard.html;tests/e2e/credential-guard.spec.ts;tests/e2e/navsentinel.spec.ts
MAP-LEVEL-12,gym_level,Level 12 slow same-tab navigation,NS-ADV-NAV-001,,No unauthorized boundary is crossed; a deliberate slow same-site navigation must remain usable.,benign,browser_outcome,Playwright completes the expected navigation without an unexplained intervention.,MODELLED,CURRENT_REGRESSION,CLEAR,"One local control does not validate SSO, payment-return, shortener, or open-web delayed-navigation compatibility.",,,gym/level12-slow-same-tab-link.html;tests/e2e/navsentinel.spec.ts
MAP-RW-01,rw_journey,RW-01 Sponsored-result overlay swap,NS-ADV-SUPPLY-001,NS-ADV-UI-001,A deceptive overlay turns one trusted click into an unrelated new-tab consequence.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,The test checks popup survival and product UI; it does not independently replay ad-network or search-result provenance.,,,gym/rw01-search-result-overlay-swap.html;tests/e2e/navsentinel.spec.ts
MAP-RW-03,rw_journey,RW-03 Delayed redirect landing,NS-ADV-NAV-001,,A delayed cross-site navigation commits after the action's authority has expired.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,"Rollback is post-commit containment, and the test does not prove pre-harm prevention.",,,gym/rw03-delayed-redirect-landing.html;gym/rw03-final-report.html;tests/e2e/navsentinel.spec.ts
MAP-RW-04,rw_journey,RW-04 Open-redirect laundering,NS-ADV-NAV-004,NS-ADV-AUTH-001,A benign-looking intermediary launders an unrelated final destination.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,The local three-page chain does not establish open-web redirect coverage.,,,gym/rw04-open-redirect-landing.html;gym/rw04-local-redirector.html;gym/rw04-final-offer.html;tests/e2e/navsentinel.spec.ts
MAP-RW-06,rw_journey,RW-06 Legitimate auth followed by a second popup,NS-ADV-AUTH-005,NS-ADV-WIN-002,A legitimate authentication popup is followed by an unauthorized second browsing context.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,The synthetic flow does not validate provider protocol or concurrent production OAuth state.,,,gym/rw06-legit-auth-second-popup.html;tests/e2e/navsentinel.spec.ts
MAP-RW-07,rw_journey,RW-07 Fake reauthentication interstitial,NS-ADV-CRED-006,,A trusted-page reauthentication lure attempts to send a synthetic password to an unrelated destination.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,The form-submit oracle does not cover arbitrary script or network exfiltration sinks.,,,gym/rw07-fake-reauth-interstitial.html;tests/e2e/credential-guard.spec.ts
MAP-RW-08,rw_journey,RW-08 OAuth popup window reuse laundering,NS-ADV-WIN-003,NS-ADV-AUTH-003,An authorized popup is reused for an unrelated destination after consent.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,One named-window sequence does not cover every browser reuse and concurrency ordering.,,,gym/rw08-window-reuse-laundering.html;gym/rw08-consent-popup.html;gym/rw08-laundered-destination.html;tests/e2e/navsentinel.spec.ts
MAP-RW-09,rw_journey,RW-09 Named-target popup ambiguity,NS-ADV-WIN-003,NS-ADV-AUTH-003,Ambiguous empty and named targets blur which authorization flow owns a later navigation.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,The authored sequence is not a general popup ownership or identity proof.,,,gym/rw09-target-ambiguity.html;gym/rw09-consent-step1.html;gym/rw09-consent-step2.html;gym/rw09-phish-target.html;tests/e2e/navsentinel.spec.ts
MAP-RW-10,rw_journey,RW-10 Keyboard-only authentication launch,NS-ADV-AUTH-005,,No unauthorized consequence occurs; keyboard activation must retain legitimate popup authority.,benign,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,"The benign control covers local Space and Enter paths, not assistive technology or provider variance.",,,gym/rw10-keyboard-auth-launch.html;gym/rw10-consent-popup.html;tests/e2e/navsentinel.spec.ts
MAP-RW-11,rw_journey,RW-11 Fake invoice approval,NS-ADV-MONEY-001,,An invoice-review action opens an unrelated payout destination.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,The browser-context assertion does not establish payment recipient or amount integrity.,,,gym/rw11-fake-invoice-approval.html;gym/rw11-unrelated-payout.html;tests/e2e/navsentinel.spec.ts
MAP-RW-12,rw_journey,RW-12 Wallet-connect popup burst,NS-ADV-MONEY-003,NS-ADV-WIN-002,A legitimate wallet connection is followed by an unauthorized drain popup.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,"The fixture models popup authority only, not wallet protocol, signing intent, or asset transfer.",,,gym/rw12-wallet-connect-burst.html;gym/rw12-wallet-connect-popup.html;gym/rw12-wallet-drain-popup.html;tests/e2e/navsentinel.spec.ts
MAP-RW-13,rw_journey,RW-13 Courier tracking credential lure,NS-ADV-SOCIAL-004,NS-ADV-CRED-001,A parcel lure attempts to submit synthetic credentials to an unrelated destination.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,The local control does not measure lookalike diversity or arbitrary script exfiltration.,,,gym/rw13-courier-tracking-login.html;tests/e2e/credential-guard.spec.ts
MAP-RW-14,rw_journey,RW-14 Express-pay overlay hijack,NS-ADV-MONEY-002,NS-ADV-UI-001,A payment-labelled surface routes trusted input to a hidden unrelated target.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,"The fixture does not prove recipient, amount, wallet, or native payment integrity.",,,gym/rw14-checkout-express-pay-overlay.html;gym/rw14-membership-upsell.html;tests/e2e/navsentinel.spec.ts
MAP-RW-15,rw_journey,RW-15 Bank security-alert redirect,NS-ADV-MONEY-007,NS-ADV-NAV-001,A timed security-alert lure commits an unrelated verification navigation.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,"The current outcome is rollback after commit, not pre-harm blocking.",,,gym/rw15-bank-security-alert.html;gym/rw15-bank-verify-transaction.html;tests/e2e/navsentinel.spec.ts
MAP-RW-16,rw_journey,RW-16 Fake document preview overlay,NS-ADV-FILE-001,NS-ADV-UI-001,A document-preview surface redirects trusted input to an unrelated open action.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,The local fake sink does not model downloaded artifact identity or execution.,,,gym/rw16-fake-document-preview-overlay.html;gym/rw16-unrelated-open.html;tests/e2e/navsentinel.spec.ts
MAP-RW-17,rw_journey,RW-17 Media-player overlay hijack,NS-ADV-UI-001,,A drifting media overlay consumes a play action for an unrelated advertising destination.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,One authored overlay does not cover embedded-player or supply-chain variance.,,,gym/rw17-media-overlay-hijack.html;gym/rw17-ad-landing.html;tests/e2e/navsentinel.spec.ts
MAP-RW-18,rw_journey,RW-18 Fake browser update warning,NS-ADV-FILE-001,,A fake codec or browser-update action reaches a synthetic installer destination.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,No file is executed and the lane does not establish artifact provenance or malware detection.,,,gym/rw18-browser-update-warning.html;gym/rw18-installer-download.html;tests/e2e/navsentinel.spec.ts
MAP-RW-19,rw_journey,RW-19 Tech-support scareware,NS-ADV-SOCIAL-001,NS-ADV-WIN-002,A scare page repeatedly creates remote-support browsing contexts.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,"The fixture is silent and inert; it does not model calling, remote access, or OS-level consequences.",,,gym/rw19-tech-support-scare.html;gym/rw19-remote-support.html;tests/e2e/navsentinel.spec.ts
MAP-RW-20,rw_journey,RW-20 Support widget abuse,NS-ADV-SUPPLY-006,NS-ADV-WIN-002,A legitimate support popup is followed by an unauthorized remote-tool destination.,mixed,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,The authored widget does not cover compromised vendor code or open-web integration behavior.,,,gym/rw20-chat-widget-abuse.html;gym/rw20-chat-popup.html;gym/rw20-remote-tool.html;tests/e2e/navsentinel.spec.ts
MAP-RW-21,rw_journey,RW-21 Allow-once double spend,NS-ADV-WIN-005,,One scoped allowance is consumed twice for separate browsing-context consequences.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,This is one timing sequence and not proof for every authority token or consequence type.,,,gym/rw21-allow-once-double-spend.html;gym/rw21-settings-popup.html;gym/rw21-exfil-popup.html;tests/e2e/navsentinel.stress.spec.ts
MAP-RW-22,rw_journey,RW-22 Rollback after worker restart,NS-ADV-STATE-001,NS-ADV-NAV-001,A service-worker restart must not lose or misapply pending rollback state.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,The synthetic worker lifecycle is not branded-browser suspension evidence and rollback remains post-commit.,,,gym/rw22-rollback-worker-restart.html;gym/rw22-order-status.html;gym/rw22-phish-landing.html;tests/e2e/navsentinel.stress.spec.ts
MAP-RW-23,rw_journey,RW-23 Multi-tab prompt isolation,NS-ADV-WIN-008,NS-ADV-STATE-007,"Concurrent tab actions must not leak prompts, authority, or state across document identities.",attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,The fixed two-tab sequence does not cover broad concurrency or bridge-identity compromise.,,,gym/rw23-multi-tab-prompts.html;gym/rw23-tab-a.html;gym/rw23-tab-a-popup.html;gym/rw23-tab-b.html;gym/rw23-tab-b-popup.html;tests/e2e/navsentinel.stress.spec.ts
MAP-RW-24,rw_journey,RW-24 Idle-resume popup,NS-ADV-EVADE-003,NS-ADV-STATE-004,A popup fires after the initiating authority has expired during idle time.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,"One timer boundary does not establish robustness across throttling, sleep, or BFCache.",,,gym/rw24-idle-resume-popup.html;gym/rw24-stale-popup.html;tests/e2e/navsentinel.stress.spec.ts
MAP-RW-25,rw_journey,RW-25 Rapid close and reopen churn,NS-ADV-STATE-008,,Stale authority must not survive rapid popup close/reopen churn to reach an exfiltration sink.,attack,mixed,Playwright observes the browser consequence and the corresponding product state in a local synthetic journey.,MODELLED,CURRENT_REGRESSION,CLEAR,"The local churn sequence does not cover browser crashes, profile restart, or every reuse ordering.",,,gym/rw25-rapid-close-reopen.html;gym/rw25-churn-popup.html;gym/rw25-exfil-popup.html;tests/e2e/navsentinel.stress.spec.ts
MAP-EVASION-01,evasion_fixture,Evasion 01 Opacity threshold,NS-ADV-UI-001,,A low-opacity full-page target captures trusted input.,primitive,mixed,Playwright checks the resulting browsing context or intervention state for the authored threshold case.,MODELLED,CURRENT_REGRESSION,CLEAR,A single hand-authored threshold fixture is not a mutation campaign or robustness distribution.,,,gym/evasion-01-opacity-009.html;tests/e2e/evasion.spec.ts
MAP-EVASION-02,evasion_fixture,Evasion 02 Size threshold,NS-ADV-UI-001,,A sub-threshold target captures trusted input.,primitive,mixed,Playwright checks the resulting browsing context or intervention state for the authored threshold case.,MODELLED,CURRENT_REGRESSION,CLEAR,A single hand-authored threshold fixture is not a mutation campaign or robustness distribution.,,,gym/evasion-02-size-34pct.html;tests/e2e/evasion.spec.ts
MAP-EVASION-03,evasion_fixture,Evasion 03 Whitespace accessibility label,NS-ADV-UI-001,,A meaningless label attempts to suppress deceptive-surface scoring.,primitive,mixed,Playwright checks the resulting browsing context or intervention state for the authored threshold case.,MODELLED,CURRENT_REGRESSION,CLEAR,A single hand-authored threshold fixture is not a mutation campaign or robustness distribution.,,,gym/evasion-03-labeled-overlay.html;tests/e2e/evasion.spec.ts
MAP-EVASION-04,evasion_fixture,Evasion 04 Z-index threshold,NS-ADV-UI-001,,A just-below-threshold stacking value attempts to preserve an unauthorized target.,primitive,mixed,Playwright checks the resulting browsing context or intervention state for the authored threshold case.,MODELLED,CURRENT_REGRESSION,CLEAR,A single hand-authored threshold fixture is not a mutation campaign or robustness distribution.,,,gym/evasion-04-zindex-9998.html;tests/e2e/evasion.spec.ts
MAP-EVASION-05,evasion_fixture,Evasion 05 Composite weak signals,NS-ADV-EVADE-006,,Several individually weak signals combine around one unauthorized activation.,primitive,mixed,Playwright checks the resulting browsing context or intervention state for the authored threshold case.,MODELLED,CURRENT_REGRESSION,CLEAR,"This product-event regression covers only the default hand-authored Evasion 05 threshold case. MAP-LANE-EVASION-LOCALITY separately owns the deterministic mutation campaign, typed sink, and robustness limitations.",,,gym/evasion-05-composite.html;tests/e2e/evasion.spec.ts
MAP-EVASION-06,evasion_fixture,Evasion 06 Delayed overlay injection,NS-ADV-UI-003,,A deceptive target appears after initial observation and before activation.,primitive,mixed,Playwright checks the resulting browsing context or intervention state for the authored threshold case.,MODELLED,CURRENT_REGRESSION,CLEAR,A single hand-authored threshold fixture is not a mutation campaign or robustness distribution.,,,gym/evasion-06-delayed-injection.html;tests/e2e/evasion.spec.ts
MAP-EVASION-07,evasion_fixture,Evasion 07 Pointer-events pass-through,NS-ADV-UI-005,,Pointer routing differs from the visible surface around trusted input.,primitive,mixed,Playwright checks the resulting browsing context or intervention state for the authored threshold case.,MODELLED,CURRENT_REGRESSION,CLEAR,A single hand-authored threshold fixture is not a mutation campaign or robustness distribution.,,,gym/evasion-07-pointer-events-none.html;tests/e2e/evasion.spec.ts
MAP-EVASION-08,evasion_fixture,Evasion 08 Clip-path hiding,NS-ADV-RUNTIME-003,,A clipped surface attempts to conceal its effective hit area.,primitive,mixed,Playwright checks the resulting browsing context or intervention state for the authored threshold case.,MODELLED,CURRENT_REGRESSION,CLEAR,A single hand-authored threshold fixture is not a mutation campaign or robustness distribution.,,,gym/evasion-08-clip-path-hidden.html;tests/e2e/evasion.spec.ts
MAP-EVASION-09,evasion_fixture,Evasion 09 Filter opacity,NS-ADV-RUNTIME-003,,CSS filter opacity attempts to evade direct opacity inspection.,primitive,mixed,Playwright checks the resulting browsing context or intervention state for the authored threshold case.,MODELLED,CURRENT_REGRESSION,CLEAR,A single hand-authored threshold fixture is not a mutation campaign or robustness distribution.,,,gym/evasion-09-filter-opacity.html;tests/e2e/evasion.spec.ts
MAP-EVASION-10,evasion_fixture,Evasion 10 Transform scale,NS-ADV-RUNTIME-003,,A transformed element attempts to separate declared and effective geometry.,primitive,mixed,Playwright checks the resulting browsing context or intervention state for the authored threshold case.,MODELLED,CURRENT_REGRESSION,CLEAR,A single hand-authored threshold fixture is not a mutation campaign or robustness distribution.,,,gym/evasion-10-transform-scale.html;tests/e2e/evasion.spec.ts
MAP-EVASION-11,evasion_fixture,Evasion 11 Shadow-root surface,NS-ADV-RUNTIME-001,,A deceptive surface is placed behind a shadow-root visibility boundary.,primitive,mixed,Playwright checks the resulting browsing context or intervention state for the authored threshold case.,MODELLED,CURRENT_REGRESSION,CLEAR,A single hand-authored threshold fixture is not a mutation campaign or robustness distribution.,,,gym/evasion-11-shadow-dom.html;tests/e2e/evasion.spec.ts
MAP-EVASION-12,evasion_fixture,Evasion 12 Sequential overlay reinsertion,NS-ADV-UI-004,,Repeated deceptive overlays attempt to outlive a single cleanup action.,primitive,mixed,Playwright checks the resulting browsing context or intervention state for the authored threshold case.,MODELLED,CURRENT_REGRESSION,CLEAR,A single hand-authored threshold fixture is not a mutation campaign or robustness distribution.,,,gym/evasion-12-multiple-overlays.html;tests/e2e/evasion.spec.ts
MAP-CLICKFIX-01,clickfix_fixture,ClickFix 01 Fake CAPTCHA sentinel,NS-ADV-CLIP-001,,A fake CAPTCHA writes an inert synthetic sentinel and directs the user toward an OS execution gesture.,attack,mixed,Playwright reads the clipboard and requires the exact inert sentinel plus the product alert; no OS paste or execution is attempted.,MODELLED,CURRENT_REGRESSION,CLEAR,"The browser cannot observe the OS paste destination or execution, so this is detection evidence rather than end-to-end prevention.",#449,#598,gym/clickfix-01-basic.html;tests/e2e/phase2-detections.spec.ts;tests/clickfix-detector.test.ts
MAP-CLICKFIX-02,clickfix_fixture,ClickFix 02 Terminal-instruction variant,NS-ADV-CLIP-003,NS-ADV-CLIP-001,Terminal-like instructions pair an inert synthetic clipboard sentinel with an OS execution gesture.,attack,mixed,Playwright reads the clipboard and requires the exact inert sentinel plus the product alert; no OS paste or execution is attempted.,MODELLED,CURRENT_REGRESSION,CLEAR,"The browser cannot observe the OS paste destination or execution, so this is detection evidence rather than end-to-end prevention.",#449,#598,gym/clickfix-02-instructions.html;tests/e2e/phase2-detections.spec.ts;tests/clickfix-detector.test.ts
MAP-CLICKFIX-03,clickfix_fixture,ClickFix 03 Local verification control,NS-ADV-CLIP-003,,No unauthorized consequence occurs; ordinary CAPTCHA and OTP copy behavior must remain usable.,benign,mixed,"Playwright completes the local verification control, copies the exact synthetic OTP, and requires no ClickFix alert.",MODELLED,CURRENT_REGRESSION,CLEAR,The local static control does not exercise a real verification provider; provider matching remains unit-only.,#449,#598,gym/clickfix-03-legit-captcha.html;tests/e2e/phase2-detections.spec.ts;tests/clickfix-detector.test.ts
MAP-CLICKFIX-04,clickfix_fixture,ClickFix 04 Win+R instruction variant,NS-ADV-CLIP-001,,A page combines an inert clipboard sentinel with instructions to open an OS launcher.,attack,mixed,Playwright reads the clipboard and requires the exact inert sentinel plus the product alert; no OS paste or execution is attempted.,MODELLED,CURRENT_REGRESSION,CLEAR,"The browser cannot observe the OS paste destination or execution, so this is detection evidence rather than end-to-end prevention.",#449,#598,gym/clickfix-04-winr.html;tests/e2e/phase2-detections.spec.ts;tests/clickfix-detector.test.ts
MAP-DOUBLECLICK-01,doubleclick_fixture,DoubleClick 01 opener rewrite,NS-ADV-WIN-004,,A second click lets a child rewrite its opener before closing.,attack,mixed,Playwright and unit tests inspect the opener-navigation consequence and correlation state.,MODELLED,CURRENT_REGRESSION,CLEAR,The phase-two path includes implementation-coupled assertions and is not a broad timing campaign.,,,gym/doubleclick-01-basic.html;gym/doubleclick-01-target.html;tests/e2e/phase2-detections.spec.ts;tests/dblclick-guard.test.ts
MAP-DOUBLECLICK-02,doubleclick_fixture,DoubleClick 02 OAuth consent variant,NS-ADV-WIN-004,NS-ADV-AUTH-006,A consent-labelled double click gives a child an opener rewrite consequence.,attack,mixed,Playwright observes whether the popup and opener consequence survive.,MODELLED,CURRENT_REGRESSION,CLEAR,"The local consent surface does not validate OAuth scopes, provider state, or production protocol behavior.",,,gym/doubleclick-02-oauth.html;gym/doubleclick-02-consent.html;tests/e2e/phase2-detections.spec.ts
MAP-DOUBLECLICK-03,doubleclick_fixture,DoubleClick 03 legitimate interaction,NS-ADV-WIN-004,,No unauthorized consequence occurs; an ordinary double-click must remain usable.,benign,browser_outcome,Playwright completes the intended local interaction without a false intervention.,MODELLED,CURRENT_REGRESSION,CLEAR,One control does not measure application-wide double-click compatibility.,,,gym/doubleclick-03-legit.html;tests/e2e/phase2-detections.spec.ts
MAP-DOUBLECLICK-04,doubleclick_fixture,DoubleClick 04 payment variant,NS-ADV-WIN-004,NS-ADV-MONEY-002,A payment-labelled double click gives a child an opener navigation consequence.,attack,mixed,Unit and Playwright paths inspect the opener-navigation consequence.,MODELLED,CURRENT_REGRESSION,CLEAR,"The fixture does not model a payment protocol, recipient, amount, or transfer.",,,gym/doubleclick-04-payment.html;gym/doubleclick-04-payment-target.html;tests/e2e/phase2-detections.spec.ts;tests/dblclick-guard.test.ts
MAP-LANE-CORPUS,evidence_lane,Phishing corpus validation,NS-ADV-CRED-001,NS-ADV-SOCIAL-003;NS-ADV-IDN-001,A held-out phishing snapshot reaches its synthetic protected sink or a benign snapshot is interrupted.,mixed,methodology,The current lane scores product-facing corpus results from local snapshots.,MODELLED,INVALID,CLEAR,"The historical 28% run lacks the required real-host routing, trusted input, protected-vs-fired oracle, and committed manifest; #417 owns repair.",#416;#417;#426,,tests/e2e/corpus-validation.spec.ts;tests/corpus/corpus_scoring.ts;tests/corpus/results/validation-2026-05-01.md;playwright.corpus.config.ts
MAP-LANE-FALSE-POSITIVE,evidence_lane,False-positive measurement,NS-ADV-UI-001,NS-ADV-CRED-001;NS-ADV-NAV-001,A benign journey is interrupted without an independent unauthorized consequence.,benign,methodology,A local measurement script counts product alerts over a user-supplied snapshot set.,MODELLED,STALE,CLEAR,The historical 0.72% result is stale and the required current input manifest and reproducible output are absent.,#416;#417,,scripts/measure-fp.mjs;docs/Testing_and_Gym.md
MAP-LANE-ROLLBACK,evidence_lane,Rollback browser lane,NS-ADV-NAV-001,NS-ADV-STATE-001,A suspicious navigation commits before local recovery returns to the prior page.,mixed,browser_outcome,"Playwright checks the committed URL, return navigation, and forward offer.",MODELLED,CURRENT_REGRESSION,CLEAR,This lane demonstrates post-commit containment and must never be reported as pre-harm blocking.,,,playwright.rollback.config.ts;tests/e2e/navsentinel.spec.ts;tests/e2e/navsentinel.stress.spec.ts;tests/sw-rollback.test.ts
MAP-LANE-STRESS,evidence_lane,State and timing stress lane,NS-ADV-STATE-001,NS-ADV-STATE-007;NS-ADV-STATE-008,"Timing, restart, or tab churn causes stale authority, state leakage, or an unauthorized browsing context.",mixed,browser_outcome,Serial Playwright journeys inspect browser consequences across five authored stress sequences.,MODELLED,CURRENT_REGRESSION,CLEAR,"Five fixed journeys are regression cases, not a distributional robustness campaign.",,,playwright.stress.config.ts;tests/e2e/navsentinel.stress.spec.ts
MAP-LANE-LIVE,browser_suite,Live-site compatibility check,NS-ADV-NAV-001,,No unauthorized consequence is modelled; an external search journey should remain usable.,benign,browser_outcome,Playwright visits a live Google result and checks that no prompt appears.,UNMODELLED,UNVERIFIED,CLEAR,"This network-dependent check is not hermetic, does not model harm, and is not current owner Chrome or Gate-3 evidence.",#420;#439,,playwright.live.config.ts;tests/e2e/navsentinel.spec.ts
